pokedex_number,name,generation,classfication,type1,type2,hp,height_m,weight_kg,speed,percentage_male,is_legendary,entry
1,Bulbasaur,1,Seed Pokémon,grass,poison,45,0.7,6.9,45,88.1,0,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,Ivysaur,1,Seed Pokémon,grass,poison,60,1.0,13.0,60,88.1,0,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,Venusaur,1,Seed Pokémon,grass,poison,80,2.0,100.0,80,88.1,0,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,Charmander,1,Lizard Pokémon,fire,,39,0.6,8.5,65,88.1,0,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,Charmeleon,1,Flame Pokémon,fire,,58,1.1,19.0,80,88.1,0,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,Charizard,1,Flame Pokémon,fire,flying,78,1.7,90.5,100,88.1,0,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,Squirtle,1,Tiny Turtle Pokémon,water,,44,0.5,9.0,43,88.1,0,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,Wartortle,1,Turtle Pokémon,water,,59,1.0,22.5,58,88.1,0,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,Blastoise,1,Shellfish Pokémon,water,,79,1.6,85.5,78,88.1,0,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
10,Caterpie,1,Worm Pokémon,bug,,45,0.3,2.9,45,50.0,0,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,Metapod,1,Cocoon Pokémon,bug,,50,0.7,9.9,30,50.0,0,Edge_case
12,Butterfree,1,Butterfly Pokémon,bug,flying,60,1.1,32.0,70,50.0,0,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,Weedle,1,Hairy Pokémon,bug,poison,40,0.3,3.2,50,50.0,0,Edge_case
